Block,Address,Layer,Matrix_Position,Diagonal_Value
2383,1H5G1HXeMMQGowH98rF6FpGWDnxvdVeTUr,0,"[79,79]",27
2392,1EGHYwDDLFd7DhqRG6Ufn3C5ctkPbcxiW,0,"[88,88]",-27
2396,1916872VAQLKCEHZzd1oQYFd9zJeNNHqPT,0,"[92,92]",-27
2398,1HrLgoDMRhVLsbS3AhzjRixukYBmdJtrWr,0,"[94,94]",-27
2399,13xzrz4sRP6QxGfHbw99xsRALjbbzXp2f7,0,"[95,95]",-27
2423,1LNdC7BEv7vHxbiwbHNRgMdknRNM3WPRQx,0,"[119,119]",27
2424,18f8LrZFjWhTKS6ANXa1i3hS1E8D9oLAxL,0,"[120,120]",-27
2505,12k2CJrt1nKyTL7M6CijeXvsyrjrYvu8hC,0,"[73,73]",-27
2511,1D4bxe8Lui1y5SpE2exTS5htqWt97iERDs,0,"[79,79]",27
2520,1AyS9EoiVjy97xMsqWP2gbJP7Z4dAdhHoy,0,"[88,88]",-27
2524,12iEQ5dHtpz3UvysUysDkumv3N4z1LED3o,0,"[92,92]",-27
2526,1FreYiT2YTv48LPMfDK4SeqjmWT5CCmgKk,0,"[94,94]",-27
2527,1La9r4BSeZGBujusjcNWiUVAVVcR15qYTY,0,"[95,95]",-27
2551,132u5gAG5YuGUi6ykdsEEtTfrZVacPCWJw,0,"[119,119]",27
2552,1EGNo3MtfJ2NkpAM6GsWC5btM4kpFjutnV,0,"[120,120]",-27
2633,1JecA4BHc3z5Zrjhcsg2nCsnTVB4XxD6de,0,"[73,73]",-27
2639,1QJ7J8qpMW14FBUyqjaMUDihsGy8N88UUy,0,"[79,79]",27
2648,197bMrqQEezwNjDc5wjEqozrkztWsKYGTH,0,"[88,88]",-27
2652,1DjnWS6RKZEi7tEHrnwZgfVbSj7oxZg1Fy,0,"[92,92]",-27
2655,14NwNKEXFQL3hubLivGwoyQZRu66kp5V9a,0,"[95,95]",-27
2679,1DBXSRWdbj7RC9ZkgP9irbA2SeP5hJFnyZ,0,"[119,119]",27
2680,1Avy5jbXm1UYhs5G2gmqhqABR5ZB1SdV8i,0,"[120,120]",-27
2761,1JpT7K3QQwHvMnpGw15ZsWFbXHhbcbD2N6,0,"[73,73]",-27
2767,1LpnNMQZcoaGveZfd16HeCoiTjtFtTCLnU,0,"[79,79]",27
2776,1GYUZ5RKi6oTUx7t9iXpYnL8DDXVq9H1Rp,0,"[88,88]",-27
2780,1A3a1czGUfooGUjJW6hJ9yzkAtpf31wNE,0,"[92,92]",-27
2808,1HAZX5KtU5HQwo1XmWFoQZBMMYs6BdJ6kx,0,"[120,120]",-27
