Session,Start_Block,End_Block,Block_Count,EN_Min,EN_Max,Pattern,Likely_Miner,Monotonic_Ratio,Avg_Step,Break_Reason
114,9706,9707,2,92,2186,monotonic_increasing,satoshi_pattern,1.0,2094.0,drop 2186->215
115,9708,9710,3,215,2197,monotonic_increasing,satoshi_pattern,1.0,991.0,drop 2197->218
116,9711,9713,3,218,2227,monotonic_increasing,satoshi_pattern,1.0,1004.5,drop 2227->198
117,9714,9715,2,198,2237,monotonic_increasing,satoshi_pattern,1.0,2039.0,drop 2237->102
118,9716,9718,3,102,2270,monotonic_increasing,satoshi_pattern,1.0,1084.0,drop 2270->325
119,9719,9723,5,325,2281,monotonic_increasing,satoshi_pattern,1.0,489.0,drop 2281->231
120,9724,9726,3,231,2298,monotonic_increasing,satoshi_pattern,1.0,1033.5,drop 2298->113
121,9727,9730,4,113,2319,monotonic_increasing,satoshi_pattern,1.0,735.33,drop 2319->337
122,9731,9734,4,337,2347,monotonic_increasing,satoshi_pattern,1.0,670.0,drop 2347->121
123,9735,9742,8,61,4291,mostly_increasing,likely_satoshi,0.714,327.71,drop 2415->250
124,9743,9754,12,250,2513,monotonic_increasing,satoshi_pattern,1.0,205.73,drop 2513->238
125,9755,9774,20,238,4322,monotonic_increasing,satoshi_pattern,0.895,124.11,drop 2596->30
126,9775,9779,5,30,2843,monotonic_increasing,satoshi_pattern,1.0,703.25,drop 2843->166
127,9780,9780,1,166,166,single_block,unknown,,,reset to 4
128,9781,9787,7,4,173,monotonic_increasing,satoshi_pattern,1.0,28.17,drop 173->35
129,9788,9789,2,35,4341,monotonic_increasing,satoshi_pattern,1.0,4306.0,drop 4341->38
130,9790,9792,3,38,299,monotonic_increasing,satoshi_pattern,1.0,130.5,drop 299->50
131,9793,9795,3,50,276,monotonic_increasing,satoshi_pattern,1.0,113.0,drop 276->61
132,9796,9798,3,61,4350,monotonic_increasing,satoshi_pattern,1.0,2144.5,drop 4350->63
133,9799,9807,9,63,314,monotonic_increasing,satoshi_pattern,0.875,31.38,drop 314->112
134,9808,9810,3,112,195,non_monotonic,unknown_miner,0.5,2.0,drop 116->13
135,9811,9816,6,13,139,monotonic_increasing,satoshi_pattern,1.0,25.2,drop 139->19
136,9817,9837,21,19,435,monotonic_increasing,satoshi_pattern,0.85,11.7,reset to 3
137,9838,9842,5,3,264,monotonic_increasing,satoshi_pattern,1.0,65.25,reset to 8
138,9843,9853,11,8,4405,monotonic_increasing,satoshi_pattern,1.0,439.7,drop 4405->334
139,9854,9871,18,221,426,mostly_increasing,likely_satoshi,0.706,5.41,drop 426->74
140,9872,9881,10,74,4433,mostly_increasing,likely_satoshi,0.778,484.33,drop 4433->455
141,9882,9901,20,252,4453,mostly_increasing,likely_satoshi,0.789,210.42,drop 4453->542
142,9902,9904,3,542,4456,monotonic_increasing,satoshi_pattern,1.0,1957.0,drop 4456->270
143,9905,9906,2,270,556,monotonic_increasing,satoshi_pattern,1.0,286.0,drop 556->108
144,9907,9930,24,108,4481,monotonic_increasing,satoshi_pattern,0.87,190.13,drop 4481->641
145,9931,9934,4,641,650,monotonic_increasing,satoshi_pattern,1.0,3.0,drop 650->190
146,9935,9937,3,190,4488,monotonic_increasing,satoshi_pattern,1.0,2149.0,drop 4488->656
147,9938,9940,3,656,661,monotonic_increasing,satoshi_pattern,1.0,2.5,drop 661->142
148,9941,9949,9,142,679,monotonic_increasing,satoshi_pattern,0.875,67.12,drop 679->151
149,9950,9953,4,151,695,monotonic_increasing,satoshi_pattern,1.0,181.33,drop 695->319
150,9954,9966,13,319,3032,monotonic_increasing,satoshi_pattern,0.917,226.08,drop 3032->754
151,9967,9975,9,482,3041,monotonic_increasing,satoshi_pattern,0.875,285.88,drop 3041->780
152,9976,9977,2,780,786,monotonic_increasing,satoshi_pattern,1.0,6.0,drop 786->345
153,9978,9981,4,345,3047,monotonic_increasing,satoshi_pattern,1.0,900.67,drop 3047->491
154,9982,9982,1,491,491,single_block,unknown,,,drop 491->185
155,9983,9992,10,185,826,mostly_increasing,likely_satoshi,0.778,35.11,reset to 5
156,9993,9995,3,5,4548,monotonic_increasing,satoshi_pattern,1.0,2271.5,drop 4548->846
157,9996,9997,2,846,864,monotonic_increasing,satoshi_pattern,1.0,18.0,drop 864->365
158,9998,10000,3,365,879,monotonic_increasing,satoshi_pattern,1.0,257.0,end_of_range
