# Block ExtraNonce Nonce
9291 411 1562537003
9292 414 3302395136
9293 417 58745861
9294 419 3217820709
9295 427 1586039866
9296 71 158207968
9297 429 470881081
9298 430 808884006
9299 432 2591451419
9300 1276 28930699
9301 439 4189218332
9302 1278 298765452
9303 456 1167354633
9304 462 1624489273
9305 467 3392580870
9306 81 44537662
9307 470 3148958761
9308 58 280706205
9309 1608 3825078
9310 471 3787334400
9311 482 3975381796
9312 484 17503281
9313 495 160690717
9314 507 2523710980
9315 523 434464045
9316 91 161479616
9317 2380 50748626
9318 529 467216935
9319 537 204014592
9320 549 4262618418
9321 550 1674967343
9322 1621 68553056
9323 560 3805885751
9324 566 1565784602
9325 568 3364116019
9326 569 2643056433
9327 570 505792031
9328 579 2100376115
9329 1628 352461770
9330 584 1061704982
9331 591 1762730804
9332 607 1385775916
9333 611 3039825967
9334 619 2569950983
9335 621 3852299035
9336 622 1673761817
9337 632 1968992537
9338 1309 24747573
9339 636 2938073636
9340 37 137175953
9341 642 2497600561
9342 1641 271415749
9343 646 4090777887
9344 650 299806724
9345 660 3842307363
9346 662 1031373855
9347 667 2953347353
9348 671 424670214
9349 676 2240034335
9350 679 3846772273
9351 680 2924867073
9352 681 3644714015
9353 682 216588067
9354 687 2179416585
9355 688 4147297048
9356 689 280708136
9357 2421 16025597
9358 1330 15060919
9359 1331 375583631
9360 707 2693734702
9361 710 961348666
9362 712 3412699688
9363 720 1943317035
9364 2428 49137449
9365 724 2645150753
9366 727 2923694613
9367 730 3608718384
9368 735 4159503873
9369 738 3178796833
9370 1341 167231266
9371 746 77119795
9372 750 1763091243
9373 751 2681663007
9374 760 609124104
9375 785 1584443444
9376 804 2203228727
9377 808 3637011997
9378 825 3662673975
9379 829 494032153
9380 840 633869086
9381 851 4188513801
9382 853 3385122067
9383 854 1108675372
9384 855 3028447279
9385 866 688860719
9386 871 3881141766
9387 873 1543741959
9388 876 2006165278
9389 883 2582261300
9390 885 2202409263
9391 886 3300159778
9392 887 2685496597
9393 900 319103525
9394 901 2250263060
9395 903 2606023699
9396 914 3154758437
9397 934 2654603807
9398 1369 152150640
9399 935 473746972
9400 936 1226331929
9401 946 2245422385
9402 956 4277210659
9403 1374 289341171
9404 962 4111039787
9405 963 2191173383
9406 95 191933712
9407 964 2935524375
9408 976 4154862366
9409 977 3498627586
9410 983 2096682538
9411 989 1262015002
9412 49 175271392
9413 992 600474155
9414 999 2342567717
9415 1003 2447808552
9416 1010 941156870
9417 1011 1287436581
9418 1013 1221620227
9419 1014 2984742187
9420 1017 957832484
9421 1018 605977912
9422 1020 1760451369
9423 1021 2436624152
9424 61 88921940
9425 1029 837115908
9426 1034 3537052956
9427 3979 93712636
9428 1047 3314143277
9429 1053 1550269448
9430 1057 336304385
9431 1069 1138947381
9432 1090 2424135445
9433 1100 474940471
9434 1106 3781303608
9435 1111 2143389981
9436 73 70560610
9437 1116 2415514649
9438 75 370767916
9439 1128 3957474849
9440 1133 2988904709
9441 3993 23776150
9442 56 49111900
9443 1150 3091341370
9444 1157 2795954219
9445 1160 1678694663
9446 1161 2447266078
9447 1163 65835819
9448 1167 470217990
9449 86 136709725
9450 1172 2040914219
9451 122 283258501
9452 1179 560937007
9453 1183 1688222773
9454 1189 3897912122
9455 38 37132006
9456 1200 1156024878
9457 1201 4215683898
9458 1204 1917523207
9459 73 68229731
9460 1205 2306497326
9461 1207 3266205482
9462 45 220293783
9463 1208 164972312
9464 2528 14576139
9465 1210 3516139563
9466 48 72732337
9467 2531 28169034
9468 1221 2694053424
9469 1232 2026277408
9470 1239 2113314098
9471 1241 3195436054
9472 86 446796
9473 1242 2141592085
9474 88 39106841
9475 1247 10299668
9476 1262 2199001376
9477 1284 2317593654
9478 1288 3475852345
9479 1291 1975554579
9480 1298 3640859447
9481 1309 1172464952
9482 1311 760468228
9483 1313 1725277239
9484 1325 244825655
9485 1332 1974558728
9486 1350 1129989634
9487 1787 49572198
9488 1352 2152677376
9489 1355 4064100642
9490 1359 115241758
9491 1361 2213994779
9492 1362 287295792
9493 1377 2639955465
9494 1383 655293980
9495 77 4441321
9496 4048 147828634
9497 1385 961057073
9498 1387 1234878764
9499 1388 1115075893
9500 15 194414146
9501 1389 2912570934
9502 1395 4173119777
9503 1396 837590068
9504 1397 3862972964
9505 29 199660180
9506 1401 174090809
9507 90 5736661
9508 1403 2518402561
9509 1404 919881513
9510 1405 2626906907
9511 1811 130444156
9512 1812 51274856
9513 1412 2862636034
9514 1418 3249534752
9515 1424 1528286977
9516 40 132537922
9517 1428 3358112815
9518 1436 1136875310
9519 101 14145896
9520 1820 93143060
9521 1446 3842201094
9522 1449 2053222690
9523 105 5011081
9524 1824 236629601
9525 107 49821777
9526 1453 1896270344
9527 1457 857681408
9528 52 46373474
9529 1475 4103918127
9530 4082 60485544
9531 1481 2272293405
9532 1493 3438080313
9533 57 238370147
9534 116 28804383
9535 1498 3481443865
9536 4088 42196972
9537 1502 1048534828
9538 1505 3561959173
9539 121 187117714
9540 1508 2552752153
9541 1515 1453162548
9542 1516 2877960239
9543 1529 238822435
9544 1534 1648544555
9545 1539 3173287959
9546 1543 3075627062
9547 1544 4280702008
9548 1545 657355780
9549 1546 1794821410
9550 1549 118957867
9551 1563 3821281841
9552 1574 2613173556
9553 136 46592274
9554 1583 3732275462
9555 138 56973004
9556 71 118023229
9557 1590 2869218871
9558 1593 896104501
9559 4111 52925930
9560 1602 2073661224
9561 1609 1111506474
9562 1610 1690252289
9563 1611 2793971200
9564 1618 4291513347
9565 1625 3853234468
9566 1866 161335496
9567 1640 4273868069
9568 1644 1918614792
9569 175 14973493
9570 1678 4267015448
9571 1679 198426930
9572 1684 101115941
9573 97 25081229
9574 1685 367637786
9575 1689 1255068722
9576 1876 68294184
9577 1693 2835147815
9578 1695 879527731
9579 1698 2805525018
9580 1702 2101829432
9581 1706 4132215845
9582 1709 1842003487
9583 1718 2796040984
9584 1731 3822689077
9585 1736 1312885551
9586 1744 1469334829
9587 1887 148821774
9588 1748 2305261607
9589 1754 530955031
9590 1756 3344463148
9591 1760 1343364118
9592 1771 1870093864
9593 1779 3586820640
9594 1784 256810784
9595 1785 2173054258
9596 1801 1114102318
9597 1802 646754311
9598 1804 1414962734
9599 1809 1273135927
9600 1813 1009528832
9601 1816 2362675752
9602 1820 3007547953
9603 1830 529569849
9604 1841 299818523
9605 112 124449281
9606 1842 269087794
9607 1844 4018763313
9608 1846 3820534326
9609 1857 116588571
9610 1866 4046841137
9611 1867 2853244449
9612 1869 2655650093
9613 1870 3037822465
9614 1874 429065780
9615 1877 2443987464
9616 1885 4044097820
9617 1886 536746500
9618 1888 2925192196
9619 1890 631415303
9620 1891 3839804463
9621 1894 475104795
9622 179 110039671
9623 180 46640471
9624 1900 3382033686
9625 183 126943050
9626 1901 1825125127
9627 1908 2615476787
9628 135 244444773
9629 1919 4076937520
9630 1925 2665412631
9631 1929 912257836
9632 139 63459727
9633 1930 1833352999
9634 1931 337580333
9635 193 188910409
9636 1938 1403900453
9637 1940 814197028
9638 1941 879974714
9639 1942 2530504960
9640 196 24131299
9641 197 234598751
9642 1945 2516277280
9643 1948 3933080875
9644 1949 3656898846
9645 1961 2054384390
9646 1964 2457459475
9647 33 121262376
9648 1965 3555224633
9649 1971 2775283992
9650 1973 1469319975
9651 1979 3045430790
9652 1983 81580079
9653 1984 2476271381
9654 1992 2604251444
9655 1994 2949937411
9656 4208 48991934
9657 164 83622366
9658 1995 2786753590
9659 45 36272957
9660 1997 1862978097
9661 1999 2657076500
9662 2002 2299571988
9663 2003 1310033705
9664 2005 3870331962
9665 2011 1963371812
9666 272 61963841
9667 2012 2177876502
9668 2018 2475000105
9669 2029 530660868
9670 276 73283212
9671 2031 2585272866
9672 2035 2839024670
9673 2037 142255125
9674 2038 3474107173
9675 2048 3833020182
9676 4228 56587029
9677 2056 3716582400
9678 2060 2770194479
9679 186 126211837
9680 2070 294777126
9681 2075 4155943683
9682 2078 242272539
9683 2080 1843069997
9684 2081 4107683589
9685 2087 4129491738
9686 2096 3318419258
9687 2106 1681261599
9688 14 64770265
9689 174 93074689
9690 2108 1643240748
9691 2109 511794949
9692 2111 1935407657
9693 299 10847611
9694 2125 176347941
9695 180 252333415
9696 2134 4068899610
9697 2136 357753860
9698 2142 2013976609
9699 206 129168049
9700 2143 694636825
9701 186 56655828
9702 2157 3621498633
9703 2166 2448628023
9704 2170 3605603379
9705 2182 4122852409
9706 92 208191488
9707 2186 3827474697
9708 215 151895249
9709 2192 603122458
9710 2197 3713290776
9711 218 287841252
9712 2224 1624935705
9713 2227 32859159
9714 198 113986070
9715 2237 469114136
9716 102 166881145
9717 2266 786563105
9718 2270 3261024553
9719 325 79800938
9720 2274 3157072133
9721 2276 2919382046
9722 2280 4090284566
9723 2281 2140711702
9724 231 275256064
9725 2290 3912622385
9726 2298 2081414176
9727 113 13570263
9728 2300 332586017
9729 2309 3755348021
9730 2319 2854747170
9731 337 11288152
9732 2320 1033681692
9733 2337 1618844709
9734 2347 3710256427
9735 121 50407924
9736 61 343697012
9737 2357 599119662
9738 2363 1207600177
9739 4291 33105665
9740 2374 2515707422
9741 2409 1629949188
9742 2415 986729784
9743 250 33352589
9744 2419 1136691
9745 2424 1891539509
9746 2430 966030119
9747 2448 453556007
9748 2449 4234999042
9749 2458 1701174018
9750 2464 3808580905
9751 2480 1528917802
9752 2492 926943796
9753 2500 3068018995
9754 2513 818981172
9755 238 205041184
9756 2519 1069513498
9757 2535 4143752495
9758 2538 4061632036
9759 2543 3699053601
9760 4312 25299181
9761 2560 3768953859
9762 2565 103550490
9763 2566 1942750260
9764 2569 265869862
9765 2573 3916840963
9766 2575 4202915349
9767 2576 2135401269
9768 2584 3889510144
9769 2588 862977584
9770 4322 104519248
9771 2591 811460101
9772 2593 1439029297
9773 2595 2456659251
9774 2596 1706623233
9775 30 8419514
9776 2602 3157252889
9777 2603 742223619
9778 2608 3076332065
9779 2843 98102728
9780 166 566299064
9781 4 2125699102
9782 19 26225185
9783 23 633020447
9784 26 4279119386
9785 29 1690486047
9786 31 183187492
9787 173 220131449
9788 35 2140807213
9789 4341 63867863
9790 38 4051795483
9791 45 3033325857
9792 299 52983918
9793 50 3006726191
9794 52 1975328770
9795 276 102678621
9796 61 8003631
9797 403 90097058
9798 4350 18692946
9799 63 1579251248
9800 64 680978232
9801 67 2205018933
9802 95 3206163720
9803 102 3407590958
9804 190 50197925
9805 312 79476176
9806 287 30042699
9807 314 113197475
9808 112 3965382422
9809 195 1998757
9810 116 1756563244
9811 13 37934249
9812 118 2722422315
9813 121 376708891
9814 122 3895295510
9815 134 4159975710
9816 139 187839529
9817 19 152252109
9818 143 4025919240
9819 146 3170649646
9820 148 982368806
9821 155 2079804182
9822 165 3347568645
9823 166 682302215
9824 173 4178360624
9825 188 366014229
9826 210 1432320295
9827 218 4033342247
9828 222 1253293316
9829 435 73525183
9830 230 123837992
9831 245 2008523059
9832 313 238496057
9833 250 1583900215
9834 315 132160124
9835 251 4002930711
9836 252 1427989251
9837 253 707935542
9838 3 34615383
9839 254 3747425798
9840 257 2683211270
9841 263 2749377590
9842 264 1421711873
9843 8 420206112
9844 287 4282246955
9845 290 1037040182
9846 304 1189557021
9847 307 4140331796
9848 308 2358792999
9849 315 581860399
9850 327 291660836
9851 328 4232113190
9852 330 2295724838
9853 4405 98207330
9854 334 971545898
9855 352 273556738
9856 221 316002091
9857 337 11665059
9858 355 4118683141
9859 224 91723783
9860 357 712262433
9861 368 3608516903
9862 378 2276185397
9863 386 988664084
9864 387 3197822209
9865 372 146678643
9866 408 1562044934
9867 418 423597104
9868 233 17381298
9869 420 4190875414
9870 235 70028460
9871 426 1590396198
9872 74 16710024
9873 427 208334875
9874 433 3112131882
9875 435 746257197
9876 383 42168770
9877 437 3925511480
9878 385 82254511
9879 440 1613387041
9880 446 2930522412
9881 4433 101977805
9882 455 2880707605
9883 463 1457879608
9884 467 2716924186
9885 469 3640648484
9886 473 2632367880
9887 252 256183996
9888 253 82978701
9889 485 3693227066
9890 255 135182175
9891 496 993495062
9892 499 1767151923
9893 373 303201170
9894 503 3977942839
9895 504 86393382
9896 376 197544521
9897 404 167255679
9898 517 3106255903
9899 519 1501561379
9900 535 2571692822
9901 4453 126586009
9902 542 247054897
9903 543 2428832033
9904 4456 6121365
9905 270 62024055
9906 556 3135344430
9907 108 138434807
9908 570 1369539111
9909 572 2090380324
9910 577 2743171073
9911 581 2072777222
9912 584 3261165873
9913 585 798915363
9914 586 2536398635
9915 422 54087853
9916 394 58338327
9917 587 2094141744
9918 595 2428088623
9919 397 216681294
9920 427 73519100
9921 597 2094260755
9922 615 1950924035
9923 617 3951405360
9924 627 2428053280
9925 628 4084051989
9926 631 488035352
9927 632 3121899826
9928 635 2768331557
9929 638 2181591850
9930 4481 66729674
9931 641 236740121
9932 645 2912311342
9933 646 1496961331
9934 650 4047817519
9935 190 16434097
9936 654 711220535
9937 4488 22445444
9938 656 1732088865
9939 658 416192034
9940 661 1851584033
9941 142 52569991
9942 667 2551599873
9943 421 131537074
9944 671 870967
9945 673 4219149612
9946 674 2936598327
9947 675 3069700866
9948 677 764430638
9949 679 1960133669
9950 151 323415430
9951 681 1746691849
9952 688 676363045
9953 695 1581811456
9954 319 84908894
9955 698 2988081700
9956 704 1965214984
9957 709 2466768438
9958 435 103035547
9959 714 2452285730
9960 721 1016306453
9961 735 2095787559
9962 737 1431176739
9963 740 2818149420
9964 742 1168310293
9965 743 2363548215
9966 3032 47026580
9967 754 892268588
9968 760 2868065536
9969 762 3822689844
9970 763 1207192329
9971 764 301081644
9972 771 3306526750
9973 482 122580665
9974 774 871021063
9975 3041 19768578
9976 780 3999968281
9977 786 147414567
9978 345 69816781
9979 346 49044971
9980 790 3853468422
9981 3047 32336417
9982 491 6903845
9983 185 25220711
9984 797 3089676851
9985 810 3580740355
9986 812 3689998336
9987 815 3103150876
9988 466 108282998
9989 816 3129511978
9990 822 1771462406
9991 826 3273981203
9992 501 181072685
9993 5 220590751
9994 842 1805108249
9995 4548 37411660
9996 846 3890397751
9997 864 3408807980
9998 365 155049271
9999 876 3568610608
10000 879 2145410362
